numCommande;nomClient;numTelClient;mailClient;adresseClient;codePostalClient;villeClient;dateCommande;datePaiement;dateRealisation;nomDestinataire;numTelDestinataire;adresseDestinataire;codePostalDestinataire;villeDestinataire;dateLivraisonEffective
1;Royer;"0725836057";royer@free.fr;39, Rue des Rossignols;69002;Lyon 2eme;01/12/2020;03/12/2020;04/12/2020;Royer;"0725836057";39, Rue des Rossignols;69002;Lyon 2eme;04/12/2020
2;Marchand;"0766682828";marchand@gmail.com;26, Avenue de Breteuil;69330;Meyzieu;01/12/2020;03/12/2020;09/12/2020;Marchand;"0766682828";26, Avenue de Breteuil;69330;Meyzieu;11/12/2020
3;Benedetti;"0781632325";benedetti@hotmail.com;43, Rue des Orchidées;69520;Grigny-sur-Rhône;01/12/2020;11/12/2020;15/12/2020;Michaud;"0636732048";37, Boulevard de Verdun;69360;Solaize;18/12/2020
4;Aubry;"0755210517";aubry@orange.fr;46, Rue des Agriculteurs;69580;Sathonay-Village;02/12/2020;03/12/2020;11/12/2020;;"";;;;
5;Boutique Instant Précieux;"0613845064";instant_précieux@free.fr;37, Rue Saint-Gervais;69730;Genay;02/12/2020;09/12/2020;14/12/2020;Boutique Instant Précieux;"0613845064";37, Rue Saint-Gervais;69730;Genay;16/12/2020
6;Duval;"0659520096";duval@sfr.fr;8, Avenue de la Division Leclerc;69008;Lyon 8eme;03/12/2020;08/12/2020;22/12/2020;Michel;"0622833179";25, Rue du Moulin;69680;Chassieu;28/12/2020
7;Berger;"0610094283";berger@outlook.com;16, Rue Saint-Charles;69520;Grigny-sur-Rhône;03/12/2020;14/12/2020;17/12/2020;Berger;"0610094283";16, Rue Saint-Charles;69520;Grigny-sur-Rhône;17/12/2020
8;Renaud;"0658743912";renaud@icloud.com;48, Boulevard de la Marne;69003;Lyon 3eme;04/12/2020;08/12/2020;17/12/2020;Renaud;"0658743912";48, Boulevard de la Marne;69003;Lyon 3eme;18/12/2020
9;Boutique Coin Précieux;"0785431549";coin_précieux@sfr.fr;21, Avenue de Lowendal;69350;La Mulatière;04/12/2020;16/12/2020;28/12/2020;Boutique Coin Précieux;"0785431549";21, Avenue de Lowendal;69350;La Mulatière;29/12/2020
10;Deleuze;"0637130330";deleuze@yahoo.com;33, Rue des Ouvriers;69380;Lissieu;04/12/2020;17/12/2020;24/12/2020;Deleuze;"0637130330";33, Rue des Ouvriers;69380;Lissieu;24/12/2020
11;Restaurant Festin Royal;"0677778735";festin_royal@hotmail.com;29, Avenue de la Libération;69190;Saint-Fons;07/12/2020;21/12/2020;05/01/2021;;"";;;;
12;Sanchez;"0795748511";sanchez@sfr.fr;41, Boulevard de la République;69780;Mions;09/12/2020;15/12/2020;28/12/2020;Sanchez;"0795748511";41, Boulevard de la République;69780;Mions;31/12/2020
13;Schneider;"0668040251";schneider@bbox.fr;30, Avenue de Wagram;69290;Craponne;09/12/2020;16/12/2020;24/12/2020;Schneider;"0668040251";30, Avenue de Wagram;69290;Craponne;24/12/2020
14;Gilbert;"0723974406";gilbert@laposte.net;17, Avenue de Clermont;69320;Feyzin;09/12/2020;22/12/2020;29/12/2020;Gilbert;"0723974406";17, Avenue de Clermont;69320;Feyzin;31/12/2020
15;Boutique Esprit Bohème;"0719312161";esprit_bohème@bbox.fr;8, Boulevard des Martyrs;69230;Saint-Genis-Laval;10/12/2020;14/12/2020;29/12/2020;Boutique Esprit Bohème;"0719312161";8, Boulevard des Martyrs;69230;Saint-Genis-Laval;30/12/2020
16;Boutique Tendance et Cie;"0766092349";tendance_et_cie@protonmail.com;28, Rue des Coquelicots;69680;Chassieu;10/12/2020;21/12/2020;30/12/2020;;"";;;;
